Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/30/2022,07/31/2022,TST* Elle,Food & Drink,Sale,-23.79,
07/30/2022,07/31/2022,Amazon.com*7P7QE58F3,Shopping,Sale,-33.79,
07/26/2022,07/27/2022,WWW COSTCO COM,Shopping,Sale,-44.99,
07/26/2022,07/27/2022,APPLE.COM/BILL,Shopping,Sale,-8.65,
07/25/2022,07/26/2022,CVS/PHARMACY #04546,Health & Wellness,Sale,-10.17,
07/23/2022,07/25/2022,CHICK-FIL-A #03400,Food & Drink,Sale,-10.88,
07/24/2022,07/25/2022,EACH PEACH MARKET,Groceries,Sale,-25.25,
07/24/2022,07/25/2022,TST* Elle,Food & Drink,Sale,-38.68,
07/23/2022,07/25/2022,THE UPS STORE 5801,Personal,Sale,-34.73,
07/23/2022,07/25/2022,TARGET        00022590,Shopping,Sale,-27.12,
07/23/2022,07/25/2022,SAMBER FOOD MARKET,Groceries,Sale,-16.53,
07/24/2022,07/25/2022,DOORDASH*PURPLE PATCH,Food & Drink,Sale,-72.98,
07/23/2022,07/24/2022,UBER   TRIP,Travel,Sale,-11.41,
07/23/2022,07/24/2022,SPOTIFY*USA-SUBS,Bills & Utilities,Sale,-9.99,
07/22/2022,07/24/2022,TST* Supra,Food & Drink,Sale,-108.55,
07/24/2022,07/24/2022,Amazon.com*UT5587TY3,Shopping,Sale,-3.49,
07/21/2022,07/22/2022,ARCADIA,Bills & Utilities,Sale,-21.44,
07/21/2022,07/22/2022,Payment Thank You-Mobile,,Payment,6364.89,
07/19/2022,07/20/2022,ASTOUND POWERED BY RCN,Bills & Utilities,Return,6.97,
07/19/2022,07/20/2022,ADOBE  *800-833-6687,Shopping,Sale,-10.59,
07/19/2022,07/20/2022,SP STAGHEAD,Shopping,Sale,-3859.85,
07/18/2022,07/19/2022,Adobe Inc,Shopping,Sale,-10.81,
07/15/2022,07/18/2022,SPORTSMAN`S WINE &amp; LIQUOR,Food & Drink,Sale,-30.85,
07/15/2022,07/17/2022,APPLE.COM/BILL,Shopping,Sale,-0.99,
07/16/2022,07/17/2022,7-ELEVEN 26703,Gas,Sale,-6.02,
07/16/2022,07/17/2022,SQ *ARKIBUNA,Food & Drink,Sale,-9.37,
07/15/2022,07/15/2022,AUTOMATIC PAYMENT - THANK,,Payment,1763.64,
07/14/2022,07/14/2022,COMCAST,Bills & Utilities,Return,1.00,
07/11/2022,07/12/2022,7-ELEVEN 26703,Gas,Sale,-4.17,
07/10/2022,07/12/2022,7-ELEVEN 26703,Gas,Sale,-5.17,
07/09/2022,07/11/2022,BEST WORLD SUPERMARKET,Groceries,Sale,-9.98,
07/10/2022,07/11/2022,AMZN Mktp US*8W2DB9JK3,Shopping,Sale,-93.20,
07/09/2022,07/11/2022,THE UPS STORE 5801,Personal,Sale,-105.48,
07/10/2022,07/11/2022,WAYFAIR*Wayfair,Home,Sale,-1.78,
07/10/2022,07/11/2022,KEYMELOCKSMITHS.COM,Shopping,Sale,-31.78,
07/08/2022,07/10/2022,CVS/PHARMACY #02834,Health & Wellness,Sale,-3.23,
07/09/2022,07/10/2022,EACH PEACH MARKET,Groceries,Sale,-16.46,
07/08/2022,07/10/2022,CVS/PHARMACY #02834,Health & Wellness,Sale,-3.90,
07/08/2022,07/10/2022,VPN*TWYQNJN57W,Shopping,Sale,-5.10,
07/07/2022,07/08/2022,NYTimes*NYTimes,Bills & Utilities,Sale,-18.02,
07/06/2022,07/07/2022,TST* Elle,Food & Drink,Sale,-11.24,
07/05/2022,07/06/2022,AMZN Mktp US*UP8BL3I43,Shopping,Sale,-9.99,
07/05/2022,07/06/2022,WWW COSTCO COM,Shopping,Sale,-25.98,
07/04/2022,07/05/2022,CVS/PHARMACY #02834,Health & Wellness,Sale,-3.23,
07/03/2022,07/05/2022,TYNAN COFFEE AND TEA,Food & Drink,Sale,-28.14,
07/03/2022,07/04/2022,ASTOUND POWERED BY RCN,Bills & Utilities,Sale,-82.20,
07/03/2022,07/04/2022,BESTBUY.COM,Shopping,Sale,-161.11,
07/03/2022,07/04/2022,AMZN Mktp US*OW2JD5CG3,Shopping,Sale,-60.44,
07/02/2022,07/04/2022,TYNAN COFFEE AND TEA,Food & Drink,Sale,-33.29,
07/03/2022,07/04/2022,TARGET        00022590,Shopping,Sale,-11.93,
07/03/2022,07/03/2022,DOORDASH*PURPLE PATCH,Food & Drink,Sale,-139.90,
07/02/2022,07/03/2022,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.10,
07/02/2022,07/03/2022,ADAMS MORGAN ACE HARDWAR,Home,Sale,-76.21,
07/02/2022,07/03/2022,TST* Purple Patch,Food & Drink,Sale,-23.40,
07/01/2022,07/03/2022,HOTELSCOM7231561630301,Travel,Return,939.16,
07/01/2022,07/03/2022,7-ELEVEN 26703,Gas,Sale,-24.16,
07/01/2022,07/01/2022,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
06/30/2022,07/01/2022,APPLE.COM/BILL,Shopping,Sale,-8.65,
07/01/2022,07/01/2022,COMCAST,Bills & Utilities,Sale,-1.00,
07/01/2022,07/01/2022,Disney Plus,Bills & Utilities,Sale,-8.47,
06/30/2022,07/01/2022,SQ *GOOD COMPANY DOUGHNUT,Food & Drink,Sale,-13.00,
